Zona,Region_Comercial,Subregion_Comercial,Locacion_Comercial,AGRUP_PIVO,CANAL,Marca,Tamano,EMPAQUE,Retornable,Agrup_Producto,SKU,MES,MES_CUOTA, AL_CUOTA ,AL_VENTA_2017,AL_VENTA_2018,AL_VENTA_2019,YEAR_2018,YEAR_2019
REGION SUR,REGION SUR,Sub. Tacna,87 CAMPOLI TACNA,COMER Y BEBER,HORIZONTAL,MIXTOS,FAMILIAR,2.25 LTS,NO RETORNABLE,GASEOSAS,MIXTOS FAMILIAR 2.25 LTS NO RETORNABLE,ABRIL,,,,,,30.9088,2.3776
REGION SUR,REGION SUR,Sub. Tacna,87 CAMPOLI TACNA,COMER Y BEBER,HORIZONTAL,INCA-KOLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,INCA-KOLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,131.135,134.084,136.3143,125.7473,80.3092,759.2392,575.3748
REGION SUR,REGION SUR,Sub. Tacna,87 CAMPOLI TACNA,COMER Y BEBER,HORIZONTAL,INCA-KOLA,FAMILIAR,2.25 LTS,NO RETORNABLE,GASEOSAS,INCA-KOLA FAMILIAR 2.25 LTS NO RETORNABLE,ABRIL,4889.174,4974.873,4755.9916,4401.3338,4468.3026,23469.2892,20514.7238
REGION SUR,REGION SUR,Sub. Tacna,87 CAMPOLI TACNA,COMER Y BEBER,HORIZONTAL,INCA-KOLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,INCA-KOLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,109.536,117.408,75.0254,143.1822,101.4425,739.1593,597.5617
REGION SUR,REGION SUR,Sub. Tacna,87 CAMPOLI TACNA,COMER Y BEBER,HORIZONTAL,INCA-KOLA,FAMILIAR,1.5 LTS.,NO RETORNABLE,GASEOSAS,INCA-KOLA FAMILIAR 1.5 LTS. NO RETORNABLE,ABRIL,657.688,657.688,882.10789,728.3533,720.4277,3209.827,3340.5975
REGION SUR,REGION SUR,Sub. Tacna,87 CAMPOLI TACNA,COMER Y BEBER,HORIZONTAL,FANTA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,FANTA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,21.938,27.225,59.1752,51.7783,19.0206,321.7652,143.1829
REGION SUR,REGION SUR,Sub. Tacna,87 CAMPOLI TACNA,COMER Y BEBER,HORIZONTAL,FANTA,FAMILIAR,2.25 LTS,NO RETORNABLE,GASEOSAS,FANTA FAMILIAR 2.25 LTS NO RETORNABLE,ABRIL,288.428,292.198,416.8725,464.8208,320.5798,2246.4357,1496.6992
REGION SUR,REGION SUR,Sub. Tacna,87 CAMPOLI TACNA,COMER Y BEBER,HORIZONTAL,CRUSH,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,CRUSH FAMILIAR 3 LTS NO RETORNABLE,ABRIL,1280.228,1290.308,1432.8852,650.9272,767.1642,2910.1518,3388.3086
REGION SUR,REGION SUR,Sub. Tacna,87 CAMPOLI TACNA,COMER Y BEBER,HORIZONTAL,COCA-COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA-COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,130.461,157.172,105.67,85.5927,83.4793,471.2884,522.0099
REGION SUR,REGION SUR,Sub. Tacna,87 CAMPOLI TACNA,COMER Y BEBER,HORIZONTAL,COCA-COLA,FAMILIAR,2.25 LTS,NO RETORNABLE,GASEOSAS,COCA-COLA FAMILIAR 2.25 LTS NO RETORNABLE,ABRIL,3173.577,3251.238,2589.9988,2483.7993,2931.5822,13614.5362,12937.3157
REGION SUR,REGION SUR,Sub. Tacna,87 CAMPOLI TACNA,COMER Y BEBER,HORIZONTAL,COCA-COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA-COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,84.792,92.406,64.9867,91.9322,86.1203,547.8965,465.4743
REGION SUR,REGION SUR,Sub. Tacna,87 CAMPOLI TACNA,COMER Y BEBER,HORIZONTAL,COCA-COLA,FAMILIAR,1.5 LTS.,NO RETORNABLE,GASEOSAS,COCA-COLA FAMILIAR 1.5 LTS. NO RETORNABLE,ABRIL,418.609,418.619,476.5864,406.578,463.6415,1791.1625,2044.7783
REGION SUR,REGION SUR,Sub. Tacna,70 LOS PIEROS ILO,VTA AL PASO + OTROS,HORIZONTAL,SCHWEPPES,FAMILIAR,1.5 LTS.,NO RETORNABLE,GASEOSAS,SCHWEPPES FAMILIAR 1.5 LTS. NO RETORNABLE,ABRIL,,,,,,,6.3404
REGION SUR,REGION SUR,Sub. Tacna,70 LOS PIEROS ILO,VTA AL PASO + OTROS,HORIZONTAL,INCA-KOLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,INCA-KOLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,403.194,387.375,460.1931,458.0796,308.5577,2737.3817,1876.1793
REGION SUR,REGION SUR,Sub. Tacna,70 LOS PIEROS ILO,VTA AL PASO + OTROS,HORIZONTAL,INCA-KOLA,FAMILIAR,2.25 LTS,NO RETORNABLE,GASEOSAS,INCA-KOLA FAMILIAR 2.25 LTS NO RETORNABLE,ABRIL,1152.161,1118.862,1027.916,716.4501,1126.1896,6217.424,6107.2621
REGION SUR,REGION SUR,Sub. Tacna,70 LOS PIEROS ILO,VTA AL PASO + OTROS,HORIZONTAL,INCA-KOLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,INCA-KOLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,87.43,83.943,60.9363,105.6697,94.0451,475.8654,476.3925
REGION SUR,REGION SUR,Sub. Tacna,70 LOS PIEROS ILO,VTA AL PASO + OTROS,HORIZONTAL,INCA-KOLA,FAMILIAR,1.5 LTS.,NO RETORNABLE,GASEOSAS,INCA-KOLA FAMILIAR 1.5 LTS. NO RETORNABLE,ABRIL,13.812,11.261,34.0796,38.0423,18.2286,174.3606,95.8977
REGION SUR,REGION SUR,Sub. Tacna,70 LOS PIEROS ILO,VTA AL PASO + OTROS,HORIZONTAL,FANTA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,FANTA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,51.611,53.066,83.4794,95.6314,49.1366,644.0587,241.456
REGION SUR,REGION SUR,Sub. Tacna,70 LOS PIEROS ILO,VTA AL PASO + OTROS,HORIZONTAL,FANTA,FAMILIAR,2.25 LTS,NO RETORNABLE,GASEOSAS,FANTA FAMILIAR 2.25 LTS NO RETORNABLE,ABRIL,103.901,105.098,160.8842,145.8262,118.8801,979.1751,677.6161
REGION SUR,REGION SUR,Sub. Tacna,70 LOS PIEROS ILO,VTA AL PASO + OTROS,HORIZONTAL,CRUSH,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,CRUSH FAMILIAR 3 LTS NO RETORNABLE,ABRIL,36.222,36.027,62.3454,6.3402,7.9253,11.6237,66.0438
REGION SUR,REGION SUR,Sub. Tacna,70 LOS PIEROS ILO,VTA AL PASO + OTROS,HORIZONTAL,COCA-COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA-COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,291.923,297.624,392.5642,368.26,261.5336,1959.1219,1291.8163
REGION SUR,REGION SUR,Sub. Tacna,70 LOS PIEROS ILO,VTA AL PASO + OTROS,HORIZONTAL,COCA-COLA,FAMILIAR,2.25 LTS,NO RETORNABLE,GASEOSAS,COCA-COLA FAMILIAR 2.25 LTS NO RETORNABLE,ABRIL,838.481,798.192,891.2039,639.9708,1089.3376,4191.7092,4929.9541
REGION SUR,REGION SUR,Sub. Tacna,70 LOS PIEROS ILO,VTA AL PASO + OTROS,HORIZONTAL,COCA-COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA-COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,93.619,89.927,75.0256,78.1955,99.8572,345.7154,399.2541
REGION SUR,REGION SUR,Sub. Tacna,70 LOS PIEROS ILO,VTA AL PASO + OTROS,HORIZONTAL,COCA-COLA,FAMILIAR,1.5 LTS.,NO RETORNABLE,GASEOSAS,COCA-COLA FAMILIAR 1.5 LTS. NO RETORNABLE,ABRIL,16.269,12.05,29.3242,11.8881,13.4733,73.7067,104.3517
REGION SUR,REGION SUR,Sub. Tacna,70 LOS PIEROS ILO,VERTICAL,VERTICAL,INCA-KOLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,INCA-KOLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,254.598,254.599,600.20561,270.5152,443.8182,2457.8842,2383.9379
